"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"1400000US17001000100","Census Tract 1; Adams County; Illinois","69851","11641",
"1400000US17001000201","Census Tract 2.01; Adams County; Illinois","57417","10426",
"1400000US17001000202","Census Tract 2.02; Adams County; Illinois","75117","7261",
"1400000US17001000400","Census Tract 4; Adams County; Illinois","42219","10280",
"1400000US17001000500","Census Tract 5; Adams County; Illinois","41417","5186",
"1400000US17001000600","Census Tract 6; Adams County; Illinois","72907","19724",
"1400000US17001000700","Census Tract 7; Adams County; Illinois","18784","9670",
"1400000US17001000800","Census Tract 8; Adams County; Illinois","35417","13369",
"1400000US17001000900","Census Tract 9; Adams County; Illinois","43618","10436",
"1400000US17001001001","Census Tract 10.01; Adams County; Illinois","67813","12261",
"1400000US17001001002","Census Tract 10.02; Adams County; Illinois","62975","13678",
"1400000US17001001100","Census Tract 11; Adams County; Illinois","72411","19490",
"1400000US17001010100","Census Tract 101; Adams County; Illinois","71984","6754",
"1400000US17001010200","Census Tract 102; Adams County; Illinois","66007","6736",
"1400000US17001010301","Census Tract 103.01; Adams County; Illinois","91378","14728",
"1400000US17001010302","Census Tract 103.02; Adams County; Illinois","72560","11523",
"1400000US17001010400","Census Tract 104; Adams County; Illinois","102764","11022",
"1400000US17001010500","Census Tract 105; Adams County; Illinois","80182","12107",
"1400000US17001010600","Census Tract 106; Adams County; Illinois","82832","14741",
"1400000US17003957600","Census Tract 9576; Alexander County; Illinois","54875","13018",
"1400000US17003957700","Census Tract 9577; Alexander County; Illinois","62639","19582",
"1400000US17003957800","Census Tract 9578; Alexander County; Illinois","44932","3872",
"1400000US17003957900","Census Tract 9579; Alexander County; Illinois","27021","5904",
"1400000US17005951200","Census Tract 9512; Bond County; Illinois","60179","13793",
"1400000US17005951300","Census Tract 9513; Bond County; Illinois","64697","7872",
"1400000US17005951400","Census Tract 9514; Bond County; Illinois","66545","5886",
"1400000US17005951500","Census Tract 9515; Bond County; Illinois","74444","14867",
"1400000US17007010101","Census Tract 101.01; Boone County; Illinois","79750","12887",
"1400000US17007010102","Census Tract 101.02; Boone County; Illinois","62024","10702",
"1400000US17007010200","Census Tract 102; Boone County; Illinois","42331","12132",
"1400000US17007010300","Census Tract 103; Boone County; Illinois","59504","14666",
"1400000US17007010400","Census Tract 104; Boone County; Illinois","87066","23399",
"1400000US17007010501","Census Tract 105.01; Boone County; Illinois","163188","24934",
"1400000US17007010502","Census Tract 105.02; Boone County; Illinois","97778","27664",
"1400000US17007010601","Census Tract 106.01; Boone County; Illinois","96250","11143",
"1400000US17007010603","Census Tract 106.03; Boone County; Illinois","134747","9545",
"1400000US17007010604","Census Tract 106.04; Boone County; Illinois","79056","21592",
"1400000US17009970400","Census Tract 9704; Brown County; Illinois","75524","9823",
"1400000US17009970500","Census Tract 9705; Brown County; Illinois","61806","8808",
"1400000US17011964700","Census Tract 9647; Bureau County; Illinois","68398","2246",
"1400000US17011964800","Census Tract 9648; Bureau County; Illinois","69000","11857",
"1400000US17011964900","Census Tract 9649; Bureau County; Illinois","57600","7951",
"1400000US17011965000","Census Tract 9650; Bureau County; Illinois","69643","8353",
"1400000US17011965100","Census Tract 9651; Bureau County; Illinois","73786","9116",
"1400000US17011965200","Census Tract 9652; Bureau County; Illinois","69375","11132",
"1400000US17011965300","Census Tract 9653; Bureau County; Illinois","62462","11850",
"1400000US17011965400","Census Tract 9654; Bureau County; Illinois","68042","11509",
"1400000US17011965500","Census Tract 9655; Bureau County; Illinois","84875","8673",
"1400000US17011965600","Census Tract 9656; Bureau County; Illinois","69135","12303",
"1400000US17013951200","Census Tract 9512; Calhoun County; Illinois","85645","13984",
"1400000US17013951300","Census Tract 9513; Calhoun County; Illinois","103750","11996",
"1400000US17015960100","Census Tract 9601; Carroll County; Illinois","74861","7575",
"1400000US17015960200","Census Tract 9602; Carroll County; Illinois","64013","7215",
"1400000US17015960300","Census Tract 9603; Carroll County; Illinois","49821","13132",
"1400000US17015960400","Census Tract 9604; Carroll County; Illinois","54483","5539",
"1400000US17015960500","Census Tract 9605; Carroll County; Illinois","69784","11196",
"1400000US17015960600","Census Tract 9606; Carroll County; Illinois","68281","10284",
"1400000US17017960100","Census Tract 9601; Cass County; Illinois","64333","9431",
"1400000US17017960200","Census Tract 9602; Cass County; Illinois","67650","12676",
"1400000US17017960300","Census Tract 9603; Cass County; Illinois","74335","5561",
"1400000US17017960400","Census Tract 9604; Cass County; Illinois","61473","12688",
"1400000US17017960500","Census Tract 9605; Cass County; Illinois","60932","12925",
"1400000US17019000200","Census Tract 2; Champaign County; Illinois","34958","3050",
"1400000US17019000301","Census Tract 3.01; Champaign County; Illinois","6482","2251",
"1400000US17019000302","Census Tract 3.02; Champaign County; Illinois","10698","6476",
"1400000US17019000401","Census Tract 4.01; Champaign County; Illinois","2,500-","***",
"1400000US17019000402","Census Tract 4.02; Champaign County; Illinois","6831","4678",
"1400000US17019000500","Census Tract 5; Champaign County; Illinois","60392","7913",
"1400000US17019000700","Census Tract 7; Champaign County; Illinois","44012","11116",
"1400000US17019000800","Census Tract 8; Champaign County; Illinois","69265","5969",
"1400000US17019000901","Census Tract 9.01; Champaign County; Illinois","40443","8018",
"1400000US17019000902","Census Tract 9.02; Champaign County; Illinois","75852","7770",
"1400000US17019001000","Census Tract 10; Champaign County; Illinois","76359","23780",
"1400000US17019001100","Census Tract 11; Champaign County; Illinois","97330","19537",
"1400000US17019001201","Census Tract 12.01; Champaign County; Illinois","62087","10690",
"1400000US17019001203","Census Tract 12.03; Champaign County; Illinois","90483","10365",
"1400000US17019001204","Census Tract 12.04; Champaign County; Illinois","126750","13915",
"1400000US17019001205","Census Tract 12.05; Champaign County; Illinois","102027","29553",
"1400000US17019001206","Census Tract 12.06; Champaign County; Illinois","110375","27273",
"1400000US17019001301","Census Tract 13.01; Champaign County; Illinois","80461","8535",
"1400000US17019001302","Census Tract 13.02; Champaign County; Illinois","103864","20950",
"1400000US17019001400","Census Tract 14; Champaign County; Illinois","86176","25201",
"1400000US17019005300","Census Tract 53; Champaign County; Illinois","26250","5940",
"1400000US17019005401","Census Tract 54.01; Champaign County; Illinois","36615","21595",
"1400000US17019005402","Census Tract 54.02; Champaign County; Illinois","68815","8095",
"1400000US17019005500","Census Tract 55; Champaign County; Illinois","64267","7588",
"1400000US17019005601","Census Tract 56.01; Champaign County; Illinois","65467","13714",
"1400000US17019005602","Census Tract 56.02; Champaign County; Illinois","66667","31337",
