"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1400000US17001000100","Census Tract 1; Adams County; Illinois","4219","437","4219","437","3723","455","150","120","0","13","70","71","0","13","0","13","276","178","22","34","254","174","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US17001000201","Census Tract 2.01; Adams County; Illinois","1889","306","1886","306","1759","303","55","19","5","7","0","13","0","13","0","13","67","48","5","8","62","47","3","6","0","13","0","13","0","13","0","13","0","13","3","6","0","13","0","13","0","13",
"1400000US17001000202","Census Tract 2.02; Adams County; Illinois","3033","309","2939","309","2334","337","192","98","0","13","152","79","0","13","0","13","261","116","7","15","254","114","94","54","25","23","0","13","7","15","0","13","0","13","37","41","25","29","25","29","0","13",
"1400000US17001000400","Census Tract 4; Adams County; Illinois","3451","466","3399","462","2646","452","492","148","0","13","0","13","0","13","0","13","261","181","60","66","201","170","52","46","10","15","0","13","0","13","0","13","0","13","20","32","22","32","22","32","0","13",
"1400000US17001000500","Census Tract 5; Adams County; Illinois","1808","313","1560","300","1460","291","36","31","0","13","26","31","0","13","0","13","38","44","0","13","38","44","248","138","126","109","13","20","0","13","0","13","0","13","54","72","55","54","55","54","0","13",
"1400000US17001000600","Census Tract 6; Adams County; Illinois","3931","435","3840","414","3556","415","93","66","5","8","10","18","9","14","27","45","140","86","12","20","128","83","91","72","10","21","0","13","0","13","0","13","0","13","0","13","81","66","81","66","0","13",
"1400000US17001000700","Census Tract 7; Adams County; Illinois","1048","208","1013","222","849","214","95","62","12","11","6","15","0","13","0","13","51","39","17","21","34","33","35","32","15","24","0","13","0","13","0","13","0","13","7","20","13","11","9","9","4","6",
"1400000US17001000800","Census Tract 8; Adams County; Illinois","2345","372","2332","372","1800","359","184","125","0","13","24","30","0","13","59","92","265","166","41","48","224","150","13","24","13","24","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"1400000US17001000900","Census Tract 9; Adams County; Illinois","2400","306","2365","299","2049","353","45","67","0","13","9","18","0","13","0","13","262","177","0","13","262","177","35","38","0","13","0","13","0","13","0","13","0","13","22","32","13","22","13","22","0","13",
"1400000US17001001001","Census Tract 10.01; Adams County; Illinois","3933","558","3846","565","3698","569","37","36","0","13","0","13","0","13","0","13","111","90","0","13","111","90","87","84","10","15","0","13","0","13","0","13","0","13","7","11","70","77","50","63","20","22",
"1400000US17001001002","Census Tract 10.02; Adams County; Illinois","2820","518","2785","512","2468","454","81","75","6","12","47","52","0","13","0","13","183","104","0","13","183","104","35","37","0","13","0","13","0","13","0","13","0","13","0","13","35","37","35","37","0","13",
"1400000US17001001100","Census Tract 11; Adams County; Illinois","7925","662","7686","656","7090","651","176","119","0","18","60","73","0","18","11","18","349","203","117","126","232","125","239","157","55","42","0","18","12","16","0","18","0","18","51","55","121","141","17","20","104","142",
"1400000US17001010100","Census Tract 101; Adams County; Illinois","4586","381","4507","355","4377","364","11","13","4","4","0","13","0","13","12","17","103","68","0","13","103","68","79","59","15","22","0","13","0","13","0","13","0","13","16","33","48","36","37","31","11","15",
"1400000US17001010200","Census Tract 102; Adams County; Illinois","3789","348","3705","364","3584","365","68","29","0","13","3","8","0","13","1","2","49","33","21","26","28","19","84","73","4","5","0","13","13","22","0","13","0","13","2","8","65","64","65","64","0","13",
"1400000US17001010301","Census Tract 103.01; Adams County; Illinois","2912","389","2912","389","2900","390","0","13","0","13","0","13","0","13","0","13","12","11","10","9","2","5","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
