"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"1400000US17017960400","Census Tract 9604; Cass County; Illinois","1030","125","727","120","303","102",
"1400000US17017960500","Census Tract 9605; Cass County; Illinois","976","133","710","132","266","86",
"1400000US17019000200","Census Tract 2; Champaign County; Illinois","878","128","354","85","524","136",
"1400000US17019000301","Census Tract 3.01; Champaign County; Illinois","2974","370","17","27","2957","368",
"1400000US17019000302","Census Tract 3.02; Champaign County; Illinois","1906","285","21","36","1885","281",
"1400000US17019000401","Census Tract 4.01; Champaign County; Illinois","802","165","0","13","802","165",
"1400000US17019000402","Census Tract 4.02; Champaign County; Illinois","1339","250","0","13","1339","250",
"1400000US17019000500","Census Tract 5; Champaign County; Illinois","1776","278","751","201","1025","181",
"1400000US17019000700","Census Tract 7; Champaign County; Illinois","1481","155","648","157","833","163",
"1400000US17019000800","Census Tract 8; Champaign County; Illinois","2920","281","822","134","2098","268",
"1400000US17019000901","Census Tract 9.01; Champaign County; Illinois","1938","200","672","176","1266","217",
"1400000US17019000902","Census Tract 9.02; Champaign County; Illinois","2909","278","1990","254","919","245",
"1400000US17019001000","Census Tract 10; Champaign County; Illinois","1865","361","1201","256","664","254",
"1400000US17019001100","Census Tract 11; Champaign County; Illinois","1629","145","1160","167","469","111",
"1400000US17019001201","Census Tract 12.01; Champaign County; Illinois","2957","325","1330","316","1627","259",
"1400000US17019001203","Census Tract 12.03; Champaign County; Illinois","1947","191","1626","179","321","172",
"1400000US17019001204","Census Tract 12.04; Champaign County; Illinois","1440","180","1121","174","319","134",
"1400000US17019001205","Census Tract 12.05; Champaign County; Illinois","3378","369","2348","254","1030","307",
"1400000US17019001206","Census Tract 12.06; Champaign County; Illinois","873","161","733","145","140","79",
"1400000US17019001301","Census Tract 13.01; Champaign County; Illinois","2657","270","1722","252","935","169",
"1400000US17019001302","Census Tract 13.02; Champaign County; Illinois","2028","194","1489","196","539","125",
"1400000US17019001400","Census Tract 14; Champaign County; Illinois","1608","162","737","123","871","176",
"1400000US17019005300","Census Tract 53; Champaign County; Illinois","2088","314","226","76","1862","323",
"1400000US17019005401","Census Tract 54.01; Champaign County; Illinois","2205","225","727","299","1478","298",
"1400000US17019005402","Census Tract 54.02; Champaign County; Illinois","1930","348","1505","297","425","203",
"1400000US17019005500","Census Tract 55; Champaign County; Illinois","2429","297","1516","275","913","316",
"1400000US17019005601","Census Tract 56.01; Champaign County; Illinois","2688","216","1445","243","1243","225",
"1400000US17019005602","Census Tract 56.02; Champaign County; Illinois","1328","151","463","92","865","129",
"1400000US17019005701","Census Tract 57.01; Champaign County; Illinois","2367","280","1500","233","867","250",
"1400000US17019005702","Census Tract 57.02; Champaign County; Illinois","766","109","621","101","145","68",
"1400000US17019005800","Census Tract 58; Champaign County; Illinois","1574","175","762","103","812","146",
"1400000US17019005901","Census Tract 59.01; Champaign County; Illinois","445","96","14","9","431","97",
"1400000US17019005902","Census Tract 59.02; Champaign County; Illinois","809","156","0","13","809","156",
"1400000US17019006000","Census Tract 60; Champaign County; Illinois","608","105","7","7","601","103",
"1400000US17019010100","Census Tract 101; Champaign County; Illinois","2124","257","1106","313","1018","256",
"1400000US17019010204","Census Tract 102.04; Champaign County; Illinois","2064","320","1565","261","499","245",
"1400000US17019010300","Census Tract 103; Champaign County; Illinois","1208","135","309","118","899","159",
"1400000US17019010400","Census Tract 104; Champaign County; Illinois","1725","129","1410","119","315","62",
"1400000US17019010500","Census Tract 105; Champaign County; Illinois","1559","146","1429","144","130","57",
"1400000US17019010601","Census Tract 106.01; Champaign County; Illinois","2095","195","1867","190","228","86",
"1400000US17019010603","Census Tract 106.03; Champaign County; Illinois","2845","194","2220","195","625","195",
"1400000US17019010604","Census Tract 106.04; Champaign County; Illinois","1144","192","878","186","266","94",
"1400000US17019010701","Census Tract 107.01; Champaign County; Illinois","1494","209","1271","199","223","72",
"1400000US17019010702","Census Tract 107.02; Champaign County; Illinois","1422","138","1225","109","197","107",
"1400000US17019010800","Census Tract 108; Champaign County; Illinois","1594","147","1380","134","214","82",
"1400000US17019010901","Census Tract 109.01; Champaign County; Illinois","2552","244","2010","222","542","198",
"1400000US17019010902","Census Tract 109.02; Champaign County; Illinois","1561","145","1163","126","398","152",
"1400000US17019011001","Census Tract 110.01; Champaign County; Illinois","1222","174","320","99","902","192",
"1400000US17019011002","Census Tract 110.02; Champaign County; Illinois","1152","179","432","194","720","110",
"1400000US17019011100","Census Tract 111; Champaign County; Illinois","1169","174","60","31","1109","183",
"1400000US17021958100","Census Tract 9581; Christian County; Illinois","1180","124","977","106","203","81",
"1400000US17021958200","Census Tract 9582; Christian County; Illinois","1552","148","1253","144","299","118",
"1400000US17021958300","Census Tract 9583; Christian County; Illinois","1756","160","1112","161","644","177",
"1400000US17021958400","Census Tract 9584; Christian County; Illinois","1546","223","1202","223","344","118",
"1400000US17021958500","Census Tract 9585; Christian County; Illinois","927","150","491","104","436","138",
"1400000US17021958600","Census Tract 9586; Christian County; Illinois","922","138","728","79","194","127",
"1400000US17021958700","Census Tract 9587; Christian County; Illinois","1739","187","1377","175","362","142",
"1400000US17021958800","Census Tract 9588; Christian County; Illinois","1017","140","748","130","269","108",
"1400000US17021958900","Census Tract 9589; Christian County; Illinois","1061","153","626","130","435","136",
"1400000US17021959000","Census Tract 9590; Christian County; Illinois","1886","146","1703","153","183","57",
"1400000US17023060100","Census Tract 601; Clark County; Illinois","1663","151","1446","165","217","100",
"1400000US17023060200","Census Tract 602; Clark County; Illinois","1956","167","1345","165","611","169",
"1400000US17023060300","Census Tract 603; Clark County; Illinois","2206","137","1771","141","435","97",
"1400000US17023060400","Census Tract 604; Clark County; Illinois","730","88","701","90","29","24",
"1400000US17025971900","Census Tract 9719; Clay County; Illinois","951","131","849","125","102","57",
"1400000US17025972000","Census Tract 9720; Clay County; Illinois","1181","134","785","105","396","122",
"1400000US17025972100","Census Tract 9721; Clay County; Illinois","2064","208","1598","231","466","183",
"1400000US17025972200","Census Tract 9722; Clay County; Illinois","1115","139","979","129","136","58",
"1400000US17027900100","Census Tract 9001; Clinton County; Illinois","2549","154","2051","139","498","105",
"1400000US17027900200","Census Tract 9002; Clinton County; Illinois","685","71","620","64","65","26",
"1400000US17027900300","Census Tract 9003; Clinton County; Illinois","2914","251","2349","195","565","171",
"1400000US17027900401","Census Tract 9004.01; Clinton County; Illinois","573","56","503","62","70","45",
"1400000US17027900403","Census Tract 9004.03; Clinton County; Illinois","1572","136","1246","158","326","125",
"1400000US17027900404","Census Tract 9004.04; Clinton County; Illinois","584","81","493","78","91","60",
"1400000US17027900500","Census Tract 9005; Clinton County; Illinois","1774","126","1340","117","434","78",
"1400000US17027900601","Census Tract 9006.01; Clinton County; Illinois","1215","125","1085","117","130","42",
"1400000US17027900602","Census Tract 9006.02; Clinton County; Illinois","2704","147","2011","215","693","129",
"1400000US17029000100","Census Tract 1; Coles County; Illinois","1104","114","881","94","223","69",
"1400000US17029000200","Census Tract 2; Coles County; Illinois","2103","231","1811","213","292","133",
"1400000US17029000300","Census Tract 3; Coles County; Illinois","2049","205","1472","196","577","150",
"1400000US17029000400","Census Tract 4; Coles County; Illinois","1430","221","587","109","843","241",
"1400000US17029000500","Census Tract 5; Coles County; Illinois","2520","236","1558","249","962","231",
"1400000US17029000600","Census Tract 6; Coles County; Illinois","1513","175","1214","159","299","156",
"1400000US17029000701","Census Tract 7.01; Coles County; Illinois","1256","175","749","193","507","145",
"1400000US17029000702","Census Tract 7.02; Coles County; Illinois","1689","239","338","160","1351","273",
"1400000US17029000800","Census Tract 8; Coles County; Illinois","667","138","97","58","570","126",
"1400000US17029000900","Census Tract 9; Coles County; Illinois","1779","158","1249","148","530","133",
"1400000US17029001000","Census Tract 10; Coles County; Illinois","1695","211","943","187","752","179",
"1400000US17029001100","Census Tract 11; Coles County; Illinois","1619","178","643","164","976","206",
"1400000US17029001200","Census Tract 12; Coles County; Illinois","1400","168","1032","190","368","126",
"1400000US17031010100","Census Tract 101; Cook County; Illinois","2284","356","688","245","1596","287",
"1400000US17031010201","Census Tract 102.01; Cook County; Illinois","2972","356","925","273","2047","392",
"1400000US17031010202","Census Tract 102.02; Cook County; Illinois","1139","161","250","92","889","163",
"1400000US17031010300","Census Tract 103; Cook County; Illinois","3243","272","1067","219","2176","319",
"1400000US17031010400","Census Tract 104; Cook County; Illinois","2099","430","467","174","1632","419",
"1400000US17031010501","Census Tract 105.01; Cook County; Illinois","2458","264","393","173","2065","288",
"1400000US17031010502","Census Tract 105.02; Cook County; Illinois","1606","155","384","127","1222","166",
"1400000US17031010503","Census Tract 105.03; Cook County; Illinois","1455","160","154","97","1301","182",
"1400000US17031010600","Census Tract 106; Cook County; Illinois","3132","255","1330","344","1802","316",
"1400000US17031010701","Census Tract 107.01; Cook County; Illinois","1687","183","852","160","835","215",
"1400000US17031010702","Census Tract 107.02; Cook County; Illinois","1948","176","342","119","1606","210",
"1400000US17031020100","Census Tract 201; Cook County; Illinois","1676","157","683","152","993","206",
"1400000US17031020200","Census Tract 202; Cook County; Illinois","2052","252","1707","274","345","172",
"1400000US17031020301","Census Tract 203.01; Cook County; Illinois","2094","250","1528","297","566","209",
"1400000US17031020302","Census Tract 203.02; Cook County; Illinois","1807","191","1133","196","674","135",
"1400000US17031020400","Census Tract 204; Cook County; Illinois","1658","182","807","117","851","186",
"1400000US17031020500","Census Tract 205; Cook County; Illinois","2313","286","743","219","1570","338",
"1400000US17031020601","Census Tract 206.01; Cook County; Illinois","2074","277","811","215","1263","296",
"1400000US17031020602","Census Tract 206.02; Cook County; Illinois","1637","333","1027","323","610","217",
"1400000US17031020701","Census Tract 207.01; Cook County; Illinois","751","149","497","154","254","78",
"1400000US17031020702","Census Tract 207.02; Cook County; Illinois","2620","254","1283","326","1337","265",
"1400000US17031020801","Census Tract 208.01; Cook County; Illinois","2211","361","951","218","1260","395",
"1400000US17031020802","Census Tract 208.02; Cook County; Illinois","2086","268","836","248","1250","271",
"1400000US17031020901","Census Tract 209.01; Cook County; Illinois","2143","294","743","241","1400","250",
"1400000US17031020902","Census Tract 209.02; Cook County; Illinois","1481","226","717","163","764","229",
"1400000US17031030101","Census Tract 301.01; Cook County; Illinois","2270","200","598","160","1672","229",
"1400000US17031030102","Census Tract 301.02; Cook County; Illinois","2028","193","790","193","1238","179",
"1400000US17031030103","Census Tract 301.03; Cook County; Illinois","1100","120","313","113","787","124",
"1400000US17031030104","Census Tract 301.04; Cook County; Illinois","1101","130","371","90","730","143",
"1400000US17031030200","Census Tract 302; Cook County; Illinois","2614","282","1360","231","1254","335",
"1400000US17031030300","Census Tract 303; Cook County; Illinois","1441","202","483","152","958","193",
"1400000US17031030400","Census Tract 304; Cook County; Illinois","1394","108","592","107","802","126",
"1400000US17031030500","Census Tract 305; Cook County; Illinois","3120","284","1720","283","1400","254",
"1400000US17031030601","Census Tract 306.01; Cook County; Illinois","1974","257","531","133","1443","263",
"1400000US17031030603","Census Tract 306.03; Cook County; Illinois","1302","146","121","70","1181","153",
"1400000US17031030604","Census Tract 306.04; Cook County; Illinois","2234","196","562","140","1672","208",
"1400000US17031030701","Census Tract 307.01; Cook County; Illinois","917","73","187","63","730","75",
"1400000US17031030702","Census Tract 307.02; Cook County; Illinois","1482","172","893","141","589","187",
"1400000US17031030703","Census Tract 307.03; Cook County; Illinois","1858","257","554","95","1304","260",
"1400000US17031030706","Census Tract 307.06; Cook County; Illinois","1936","173","659","209","1277","183",
"1400000US17031030800","Census Tract 308; Cook County; Illinois","2211","232","1086","181","1125","228",
"1400000US17031030900","Census Tract 309; Cook County; Illinois","1519","206","592","126","927","230",
"1400000US17031031000","Census Tract 310; Cook County; Illinois","2195","277","892","198","1303","272",
"1400000US17031031100","Census Tract 311; Cook County; Illinois","3108","316","636","179","2472","391",
"1400000US17031031200","Census Tract 312; Cook County; Illinois","3413","392","629","224","2784","397",
"1400000US17031031300","Census Tract 313; Cook County; Illinois","4216","422","1586","455","2630","461",
"1400000US17031031400","Census Tract 314; Cook County; Illinois","3128","345","1415","223","1713","338",
"1400000US17031031501","Census Tract 315.01; Cook County; Illinois","2094","193","383","157","1711","228",
"1400000US17031031502","Census Tract 315.02; Cook County; Illinois","2533","324","182","105","2351","326",
"1400000US17031031700","Census Tract 317; Cook County; Illinois","3341","304","1279","268","2062","256",
"1400000US17031031800","Census Tract 318; Cook County; Illinois","951","110","409","77","542","110",
"1400000US17031031900","Census Tract 319; Cook County; Illinois","1417","193","503","100","914","186",
"1400000US17031032100","Census Tract 321; Cook County; Illinois","4220","479","956","385","3264","403",
"1400000US17031040100","Census Tract 401; Cook County; Illinois","1974","203","943","157","1031","207",
"1400000US17031040201","Census Tract 402.01; Cook County; Illinois","3188","345","1520","302","1668","309",
"1400000US17031040202","Census Tract 402.02; Cook County; Illinois","2839","205","1120","241","1719","287",
"1400000US17031040300","Census Tract 403; Cook County; Illinois","1126","123","731","129","395","123",
"1400000US17031040401","Census Tract 404.01; Cook County; Illinois","1579","212","867","173","712","150",
"1400000US17031040402","Census Tract 404.02; Cook County; Illinois","2507","284","617","174","1890","267",
"1400000US17031040600","Census Tract 406; Cook County; Illinois","1276","188","592","163","684","145",
"1400000US17031040700","Census Tract 407; Cook County; Illinois","1683","169","675","119","1008","184",
"1400000US17031040800","Census Tract 408; Cook County; Illinois","824","127","344","71","480","135",
"1400000US17031040900","Census Tract 409; Cook County; Illinois","1145","168","425","73","720","172",
"1400000US17031050100","Census Tract 501; Cook County; Illinois","1117","162","499","123","618","126",
"1400000US17031050200","Census Tract 502; Cook County; Illinois","2183","245","1352","272","831","194",
"1400000US17031050300","Census Tract 503; Cook County; Illinois","1204","127","709","134","495","128",
"1400000US17031050500","Census Tract 505; Cook County; Illinois","2044","271","1164","194","880","222",
"1400000US17031050600","Census Tract 506; Cook County; Illinois","1198","156","606","94","592","173",
"1400000US17031050700","Census Tract 507; Cook County; Illinois","713","150","353","52","360","158",
"1400000US17031050800","Census Tract 508; Cook County; Illinois","481","72","275","62","206","42",
"1400000US17031050900","Census Tract 509; Cook County; Illinois","672","97","235","55","437","104",
"1400000US17031051000","Census Tract 510; Cook County; Illinois","688","74","472","71","216","55",
"1400000US17031051100","Census Tract 511; Cook County; Illinois","718","171","392","71","326","169",
"1400000US17031051200","Census Tract 512; Cook County; Illinois","628","107","288","76","340","70",
"1400000US17031051300","Census Tract 513; Cook County; Illinois","1077","135","831","144","246","87",
"1400000US17031051400","Census Tract 514; Cook County; Illinois","1057","121","629","119","428","111",
"1400000US17031060100","Census Tract 601; Cook County; Illinois","1245","167","789","136","456","140",
"1400000US17031060200","Census Tract 602; Cook County; Illinois","1187","139","443","141","744","103",
"1400000US17031060300","Census Tract 603; Cook County; Illinois","1286","125","580","99","706","136",
"1400000US17031060400","Census Tract 604; Cook County; Illinois","1578","210","728","154","850","171",
"1400000US17031060500","Census Tract 605; Cook County; Illinois","738","68","206","49","532","69",
"1400000US17031060800","Census Tract 608; Cook County; Illinois","3634","422","1658","364","1976","349",
"1400000US17031060900","Census Tract 609; Cook County; Illinois","5076","451","2631","562","2445","479",
"1400000US17031061000","Census Tract 610; Cook County; Illinois","1143","117","317","96","826","113",
"1400000US17031061100","Census Tract 611; Cook County; Illinois","751","131","247","72","504","124",
